Well,Day,Area (um2),Perimeter (um),Equivalent diameter (um),Equivalent volume (um3),Form factor,Solidity,Eccentricity,Normalized mean intensity,Normalized median intensity,Normalized sum intensity,Normalized upper quartile intensity,Normalized lower quartile intensity,Granularity,Contrast,Dissimilarity,Homogeneity,Energy,Correlation,Angular second moment,Organoid_index,Condition
A02,T-1,7502.523532,436.1919056,97.73694105,274977.6376,0.495520956,0.923699792,0.652263341,1.146481016,1.179487179,6019.025333,0.902439024,2.4,5.695588784,38.6037455,4.51095327,0.219063046,0.029453608,0.96501327,0.000870522,23_0,Control
A02,T-1,3353.922546,336.947411,65.34789068,82189.41146,0.371226222,0.799826421,0.910365153,0.870889695,0.794871795,195.0792917,0.609756098,1.866666667,20,15.89584953,3.085989176,0.268594403,0.089727438,0.986504427,0.00805861,26_0,Control
A02,T-1,5041.541921,349.03903,80.11922703,151471.6657,0.520026243,0.941090839,0.384522178,0.832913773,0.807692308,2239.705136,0.658536585,1.7,7.473315836,27.56962733,3.708581595,0.273538918,0.041099182,0.963530331,0.001697046,27_0,Control
A02,T-1,13221.24482,598.8035481,129.74518,643272.2962,0.463354603,0.92803445,0.37737818,1.777381328,1.91025641,21796.02723,1.300813008,4.366666667,0.488296603,17.39408408,2.732028554,0.357775495,0.046692573,0.983304994,0.002192659,32_0,Control
A02,T-1,6603.083755,405.9504237,91.69137011,227042.1737,0.503512981,0.926874658,0.71677863,2.015046817,2.141025641,7971.525209,1.390243902,5.3,0.807533605,15.4475419,2.322031275,0.419321379,0.072121037,0.976486772,0.005219436,33_0,Control
A02,T-1,5030.623866,397.4303747,80.03242618,150979.8875,0.400229963,0.87839862,0.548448338,1.154498434,1.217948718,2418.67422,0.991869919,1.933333333,20,27.00614918,3.682980288,0.278973189,0.039773678,0.988247064,0.001587219,35_0,Control
A02,T-1,8503.34525,464.2490235,104.0518882,331795.9234,0.495789904,0.929765221,0.696843738,0.779007978,0.782051282,5284.011117,0.601626016,1.666666667,3.469340532,16.56280032,2.669840126,0.362413051,0.045923665,0.968088744,0.002120366,41_0,Control
A02,T-1,8137.590404,450.3954196,101.789498,310620.4658,0.504101233,0.926455355,0.298304517,1.643644524,1.794871795,10128.13756,1.227642276,3.8,1.621524664,23.7920542,3.31849639,0.295838164,0.037461866,0.981298815,0.001409886,42_0,Control
A02,T-1,5982.834243,386.4609549,87.27875542,195815.3725,0.503391165,0.917919675,0.503587683,0.964157598,0.961538462,3431.436892,0.756097561,1.966666667,5.290086798,12.61539853,2.716850636,0.308304795,0.037993027,0.989031633,0.001451786,43_0,Control
A02,T-1,6093.314563,404.6408351,88.08092336,201264.2899,0.467653346,0.929347395,0.563407678,1.03941831,1.051282051,3513.233887,0.81300813,2.233333333,4.006904616,33.61576289,4.23377921,0.241174085,0.033642445,0.961710775,0.001135086,44_0,Control
A02,T-1,6876.295086,416.7749057,93.56906981,241278.2006,0.497463528,0.926579795,0.494864799,1.047065048,1.064102564,4487.720797,0.796747967,2.266666667,2.496336306,26.71924692,3.895113363,0.242741746,0.03310538,0.967229375,0.001100203,45_0,Control
A02,T-1,9664.558396,539.9676487,110.9292474,402030.8211,0.416539698,0.879765257,0.526942319,0.962237671,0.948717949,7483.322368,0.731707317,2.066666667,3.666489078,23.35067621,3.528567873,0.269820145,0.035532055,0.970027622,0.001269004,50_0,Control
A02,T-1,4880.630585,350.5535909,78.83027251,144278.0396,0.499087808,0.912027592,0.379230613,0.895293963,0.897435897,2238.234909,0.682926829,1.9,8.499404162,16.30258586,3.006355622,0.301242079,0.042722713,0.975977633,0.001834104,51_0,Control
A02,T-1,5643.33472,394.6186595,84.76624877,179386.618,0.455397288,0.889713115,0.574312797,0.706512314,0.679487179,2113.17833,0.520325203,1.566666667,5.242041816,11.51259171,2.356346355,0.370621108,0.060821825,0.969603185,0.003723086,52_0,Control
A02,T-1,7466.649923,449.3757065,97.50299456,273007.7725,0.464639869,0.897229251,0.621436506,0.822776911,0.820512821,4205.212791,0.609756098,1.866666667,6.392411285,14.72037348,2.811029397,0.320954276,0.049991404,0.953061836,0.002511978,53_0,Control
A02,T-1,10297.02573,546.7132784,114.5014426,442134.1127,0.432914785,0.907239871,0.723028029,0.786763564,0.782051282,6445.167118,0.577235772,1.766666667,4.160752027,9.458828368,2.295257199,0.356957214,0.050058724,0.974792051,0.002520123,54_0,Control
A02,T-1,4390.877828,454.2993168,74.77057768,123115.6769,0.267348068,0.712009442,0.846101803,0.782658312,0.820512821,374.1106734,0.56097561,1.8,20,4.878531831,1.64968861,0.441059977,0.099908448,0.985416578,0.010003109,58_0,Control
A02,T-1,11277.83101,555.890696,119.8306323,506786.1079,0.458623851,0.913751343,0.577497245,0.81931647,0.794871795,7816.279123,0.642276423,1.7,3.641113232,18.22171204,3.115720133,0.301057357,0.037562,0.975383291,0.001419195,59_0,Control
A02,T-1,6839.641615,401.2317858,93.31935585,239351.6062,0.533890937,0.945248787,0.590095542,0.898086039,0.897435897,4339.55174,0.682926829,1.966666667,4.598228928,23.85788781,3.71269382,0.243299076,0.035213255,0.962792916,0.001244476,8_0,Control
